idiom,pinyin,explanation,originate,example,pyorder,frequency
衣冠楚楚,yī  guān  chǔ  chǔ,楚楚：鲜明、整洁的样子。衣帽穿戴得很整齐，很漂亮。,《诗经·曹风·蜉蝣》：“蜉蝣之羽，衣裳楚楚。”,他整天～，但对工作却漠然置之。,ygcc,367
兵不血刃,bīng  bù  xuè  rèn,兵：武器；刃：刀剑等的锋利部分。兵器上没有沾上血。形容未经战斗就轻易取得了胜利。,《荀子·议兵》：“故近者亲其善，远方慕其德，兵不血刃，远迩来服。”,～，就平了广西省多年的乱党。（清·张春帆《宦海》第七回）,bbxr,366
痴心妄想,chī  xīn  wàng  xiǎng,痴心：沉迷于某人或某事的心思；妄想：荒诞的打算。一心想着不可能实现的事。也指愚蠢荒唐的想法。,明·冯梦龙《古今小说·蒋兴哥重会珍珠衫》：“大凡人不做指望，到也不在心上；一做指望，便痴心妄想，时刻难过。”,他～的一席话，惊得大家瞠目结舌。,cxwx,366
满园春色,mǎn  yuán  chūn  sè,整个园子里一片春天的景色。比喻欣欣向荣的景象。,宋·叶绍翁《游小园不值》诗：“春色满园关不住，一枝红杏出墙来。”,,mycs,366
无米之炊,wú  mǐ  zhī  chuī,炊：做饭。比喻缺少必要条件无法办成的事。,宋·陆游《老学庵笔记》卷三：“晏景初尚书，请僧住院，僧辞以穷陋不可为。景初曰：‘高才固易耳。’僧曰：‘巧妇安能作无面汤饼乎？’”,～，是人力所做不到的。（鲁迅《两地书》八三）,wmzc,366
查无实据,chá  wú  shí  jù,查究起来，没有确实的根据或证据。,,,cwsj,365
狐朋狗友,hú  péng  gǒu  yǒu,泛指一些吃喝玩乐、不务正业的朋友。,,恼的是那～，搬弄是非，调三窝四；气的是为他兄弟不学好，不上心念书。（清·曹雪芹《红楼梦》第十回）,hpgy,365
鸡犬不宁,jī  quǎn  bù  níng,形容骚扰得厉害，连鸡狗都不得安宁。,唐·柳宗元《捕蛇者说》：“哗然而骇者，虽鸡狗不得宁焉。”,你弟兄窝藏强盗，闹了两座军州，自去落草。官府着落地方搜缉，搅得～！（清·陈忱《水浒后传》第十六回）,jqbn,365
锦囊妙计,jǐn  náng  miào  jì,旧小说里描写足智多谋的人把对付敌方的计策写在纸条上，放在锦囊里，以便当事人在紧急时拆阅。比喻有准备的巧妙办法。,明·罗贯中《三国演义》第五十四回：“汝保主公入吴，当领此三个锦囊。囊中有三条妙计，依次而行。”,,jnmj,365
伤风败俗,shāng  fēng  bài  sú,伤、败：败坏。指败坏社会风俗。多用来遣责道德败坏的行为。,唐·韩愈《论佛骨表》：“伤风败俗，传笑四方，非细事也。”,纣王以为妲己好意，岂知内藏～之情，大坏纲常礼义之防。（明·许仲琳《封神演义》第十九回）,sfbs,365
未老先衰,wèi  lǎo  xiān  shuāi,年纪还不大就衰老了。多指由于精神或体力负担过重而导致过早衰老。,清·汪琬《与参议施先生书》：“琬殷忧（车感）轲，未老先衰。”,北京老将军们的歌声，是应该使一切精神上～的“假老头儿”惭愧的吧！（秦牧《不老》）,wlxs,365
一石二鸟,yī  shí  èr  niǎo,扔一颗石子打到两只鸟。比喻做一件事情得到两样好处。,,,ysen,365
喝西北风,hē  xī  běi  fēng,指没有东西吃。,,叫我们管山吃山，管水吃水，都象你这一毛不拔，我们喝西北风。（清·吴敬梓《儒林外史》第四十一回）,hxbf,364
自我解嘲,zì  wǒ  jiě  cháo,用言语或行动为自己掩盖或辩解被人嘲笑的事。,汉·扬雄《解嘲》：“哀帝时，丁傅董贤用事，诸附离之者起家至二千石。时雄方草创《大玄》，有以自守，泊如也。人有嘲雄以玄之尚白，雄解之，号曰《解嘲》。”,,zwjc,364
初露锋芒,chū  lù  fēng  máng,比喻刚开始显示出力量或才能。,,他在这次比赛中～，夺得第一名。,clfm,362
浩然之气,hào  rán  zhī  qì,浩：盛大、刚直的样子；气：指精神。指浩大刚正的精神。,《孟子·公孙丑上》：“我善养吾浩然之气。”,贫薄把人灰，且养就这～。（元·汤显祖《牡丹亭·言怀》）,hrzq,362
千秋万代,qiān  qiū  wàn  dài,一千年，一万代。指世世代代，时间久长。,《韩非子·显学》：“今巫祝之祝人曰：‘使若千秋万岁。’千秋万岁之声恬耳，而一日之寿无征于人，此人所以简巫祝也。”,,qqwd,362
时来运转,shí  lái  yùn  zhuǎn,旧指时机来了，命运也有了转机。指境况好转。,清·姬文《市声》第十七回：“阿大利时来运来，首先挑着粪担，到租界出粪。”,,slyz,362
死无对证,sǐ  wú  duì  zhèng,对证：核实。当事人已死，无法核对事实。,元·无名氏《抱妆盒》第三折：“那厮死了，可不好了，你做的个死无对证。”,,swdz,362
为虎作伥,wèi  hǔ  zuò  chāng,伥：伥鬼，古时传说被老虎吃掉的人，死后变成伥鬼，专门引诱人来给老虎吃。替老虎做伥鬼。比喻充当恶人的帮凶。,《太平广记》卷四百三十：“伥鬼，被虎所食之人也，为虎前呵道耳。”宋·孙光宪《北梦琐言逸文》卷四：“凡死于虎，溺于水之鬼号为伥，须得一人代之。”,为着要得虎子而身入虎穴，决不是身入虎穴去～。（郭沫若《〈闻一多全集〉序》）,whzc,362
血迹斑斑,xuè  jì  bān  bān,形容留下的血迹很多。,,,xjbb,362
民脂民膏,mín  zhī  mín  gāo,比喻人民用血汗换来的财富。多用于指反动统治阶级压榨人民来养肥自己的场合。,五代后蜀·孟昶《戒石文》：“尔俸尔禄，民膏民脂。”,可怜民膏民脂，弃之无用之地。（明·许仲琳《封神演义》第二十五回）,mzmg,361
待字闺中,dài  zì  guī  zhōng,字：许配；闺：女子卧室。留在闺房之中，等待许嫁。旧指女子成年待聘。,《礼记·曲礼上》：“女子待嫁，笄而字。”,养成一个如珠似玉的女儿，不特好才貌，还缠得一双小足儿，现年十七岁，待字深闺。（清·黄小配《廿载繁华梦》第二回）,dzgz,360
唱对台戏,chàng  duì  tái  xì,过去，两个戏班子为了抢生意，有时候会硐一时间演同样的戏，称为唱对台戏。比喻采取与对方相对的行动，来反对或搞垮对方。,,,cdtx,359
反戈一击,fǎn  gē  yī  jī,掉转武器向自己原来所属的阵营进行攻击。,《尚书·武成》：“前徙倒戈，攻于后以北。”  明·罗贯中《三国演义》第十七回：“吾与杨将军反戈击之。但看火起为号，温侯以兵相应可也。”,又因为从旧垒中来，情形看得较为分明，～，易制强敌的死命。（鲁迅《坟·写在〈坟〉后面》）,fgyj,359
邪不压正,xié  bù  yā  zhèng,不正当的、不正派的压不倒正当的、正派的事物。,,,xbyz,359
形形色色,xíng  xíng  sè  sè,形形：原指生出这种形体；色色：原指生出这种颜色。指各式各样，种类很多。,《列子·天瑞》：“有形者，有形形者，有色者，有色色者。”,人上一百，～，难免良莠不一，何况是上千上万。（姚雪垠《李自成》第一卷第六章）,xxss,358
有一搭没一搭,yǒu  yī  dā  méi  yī  dā,表示故意找话说。也表示可有可无，无足轻重。,,,yydd,358
止于至善,zhǐ  yú  zhì  shàn,止：达到；至：最，极。达到极完美的境界。,《礼记·大学》：“大学之道，在明明德，在亲民，在止于至善。”,革命无止境，倘使世上真有什么“～”，这人间世便同时变了凝固的东西了。（鲁迅《而已集·黄花节的杂感》）,zyzs,358
树碑立传,shù  bēi  lì  zhuàn,树：立。原指把某人生平事迹刻在石碑上或写成传记，使他的名声世代流传下去。现比喻立个人威信，抬高个人声望。,,,sblz,357
百无禁忌,bǎi  wú  jìn  jì,百：所有的，不论什么；禁忌：忌讳。什么都不忌讳。,清·范寅《越谚·名物·风俗》“百无禁忌，诸邪回避。”,他豪爽耿直，说话办事直来直去，～。,bwjj,356
除暴安良,chú  bào  ān  liáng,铲除强暴，安抚善良的人民。,宋·李昉《太平广记》：“舍之职责，在乎除暴安良。”,俺闻剑客行为莫不至公无私，倘心存偏袒，未有不遭恶报；至除暴安良，尤为切要。（清·李汝珍《镜花缘》第六十回）,cbal,356
宽以待人,kuān  yǐ  dài  rén,宽：宽容。以宽宏大度的态度来对待别人。,明·罗贯中《三国演义》第六十回：“某素知刘备宽以待人，柔能克刚，英雄莫敌。”,,kydr,356
落英缤纷,luò  yīng  bīn  fēn,形容落花纷纷飘落的美丽情景。,晋·陶潜《桃花源记》：“忽逢桃花林，夹岸数百步，中无杂树，芳草鲜美，落英缤纷，渔人甚异之。”,四次来游，满天满谷的～；树上剩得青叶与绿叶，更何处寻那淡红娇嫩的樱。（周恩来《四次游中山公园》）,lybf,356
岂有此理,qǐ  yǒu  cǐ  lǐ,哪有这个道理。指别人的言行或某一事物极其荒谬。,《南齐书·虞悰传》：“郁林（王）废，悰窃叹日：‘王、徐遂缚袴废一辈子，天下岂有此理邪？’”,人家好心问你，你倒说这种话！真正～！（巴金《家》十六）,qycl,356
自鸣得意,zì  míng  dé  yì,鸣：表示，以为。自以为了不起，表示很得意。,清·蒲松龄《聊斋志异·江城》：“姊妹相逢无他语，惟各以阃威自鸣得意。”,,zmdy,356
风流倜傥,fēng  liú  tì  tǎng,风流：有才学而不拘礼法；倜傥：卓异，洒脱不拘。形容人有才华而言行不受世俗礼节的拘束。,清·吴趼人《二十年目睹之怪现状》第七十四回：“这边北院里同居的，也是个京官，姓车，号文琴，是刑部里的一个实缺主事，却忘了他在那一司了。为人甚是风流倜傥。”,她的男人祖上也是一个满皇后裔，～，英俊潇洒，私下里琴棋书画无所不能。（陈染《私人生活》）,fltt,355
赶鸭子上架,gǎn  yā  zī  shàng  jià,比喻强迫去做能力达不到的事情。,,那当然，这不是～的事。再说，我也识得轻重，你放心好了。（高阳《母子君臣》）,gyzj,355
见风使舵,jiàn  fēng  shǐ  duò,看风向转发动舵柄。比喻看势头或看别人的眼色行事。,宋·释普济《五灯会元》：“看风使舵，正是随波逐流。”,他们也就～，凡事一混了之。（朱自清《闻一多全集编后记》）,jfsd,355
迅雷不及掩耳,xùn  léi  bù  jí  yǎn  ěr,雷声来得非常快，连捂耳朵都来不及。比喻来势凶猛，使人来不及防备。,《六韬·龙韬·军势》：“疾雷不及掩耳，迅电不及瞑目。”,因此我给他个～的突然袭击，一口把他吃掉，是完全有可能的。（曲波《林海雪原》二九）,xlbe,355
醉生梦死,zuì shēng  mèng  sǐ,象喝醉酒和做梦那样，昏昏沉沉，糊里糊涂地过日子。,宋·朱熹《小学》卷五引程灏曰：“虽高才明智，胶于见闻，醉生梦死，不自觉也。”,一切有志者都不应该～、浑浑噩噩地虚度年华。,zsms,355
不见天日,bù  jiàn  tiān  rì,比喻社会黑暗，见不到一点光明。,宋·魏泰《东轩笔录》卷八：“福州之人，以为终世不见天日也，岂料端公赐问，然某尤为绛所苦者也。”,俺平生只是性情不好，不肯做那～的勾当，才走到这山穷水尽的地步。（《晚清文学丛钞·童子军·越墙》）,bjtr,354
抖擞精神,dǒu  sǒu  jīng  shén,振作起精神。,,飞～，酣战吕布。连斗五十余合，不分胜负。（明·罗贯中《三国演义》第五回）,dsjs,354
颠三倒四,diān  sān  dǎo  sì,形容说话做事错杂紊乱。,明·许仲琳《封神演义》第四十四回：“连拜了三四日，就把子牙拜的颠三倒四，坐卧不安。”,奶奶年岁大了，做起事来常常是～的。,dsds,353
盖棺论定,gài  guān  lùn  dìng,盖上棺材盖，才能下结论。人死后对其一生作出评价。,唐·韩愈《同冠峡》诗：“行矣且无然，盖棺事乃了。”,在过去说来，她这个小命运已是被～了，然而在今天，这一切都要重新估计。（茹志娟《在果树园里》）,ggld,353
烂醉如泥,làn  zuì  rú  ní,醉得瘫成一团，扶都扶不住。形容大醉的样子。,《后汉书·儒林传下·周泽》“一岁三百六十日，三百五十九日斋”唐·李贤注：“《汉官仪》此下云：‘一日不斋醉如泥。’”,二人纵饮甚欢，相得恨晚，自辰以迄四漏，计各尽百壶。曾～，沉睡座间。（清·蒲松龄《聊斋志异·黄英》）,lzrn,353
安危与共,ān  wēi  yǔ  gòng,共同享受安乐，共同承担危难。形容关系密切，利害相连。,三国魏·曹植《求自试表》：“而臣敢陈闻于陛下者，诚与国分形同气，忧患共之者也。”,,awyg,352
大开大合,dà  dāi  dà  hé,形容文思跌荡，放得开，收得拢。,,今年天作奇文章，～为弛张。（清·赵翼《忧旱》）,dkdh,351
金石为开,jīn  shí  wèi  kāi,金石：金属和石头，比喻最坚硬的东西。连金石都被打开了。形容一个人心诚志坚，力量无穷。,汉·刘向《新序·杂事四》：“熊渠子见其诚心，而金石为之开，况人心乎？”,精诚所至。贞心不寐，死后重谐。（明·凌濛初《初刻拍案惊奇》卷九）,jswk,351
临阵磨枪,lín  zhèn  mó  qiāng,到了快要上阵打仗的时候才磨刀擦枪。比喻事到临头才匆忙准备。,清·曹雪芹《红楼梦》第七十回：“‘临阵磨枪’，也不中用！有这会子着急，天天写写念念，有多少完不了的？”,学习要靠平时努力，不要～，到考试前才用功。,lzmq,351
忠言逆耳,zhōng  yán  nì  ěr,逆耳：不顺耳。正直的劝告听起来不顺耳，但有利于改正缺点错误。,《韩非子·外储说左上》：“夫良药苦于口，而智者劝而饮之，知其入而已己疾也；忠言拂于耳，而明主听之，知其可以致功也。”《史记·留侯世家》：“忠言逆耳利于行。”,烟馆里的人，都看这人来历不明，劝他不要与那人要好，却是～，哪里听得。（清·彭养鸥《黑籍冤魂》第十三回）,zyne,351
拔刀相助,bá  dāo  xiāng  zhù,旧小说中多指打抱不平。,宋·释道元《景德传灯录》卷二十二：“师曰：‘路见不平，所以按剑。’”,路见不平，～。（元·马致远《陈抟高卧》第一折）,bdxz,350
百炼成钢,bǎi  liàn  chéng  gāng,比喻经过长期锻炼，变得非常坚强。,汉·陈琳《武军赋》：“铠则东胡阙巩，百炼精刚。”,青年一代只有通过生产实践的各种考验，才能～。,blcg,350
孤陋寡闻,gū  lòu  guǎ  wén,陋：浅陋；寡：少。形容学识浅陋，见闻不广。,《礼记·学记》：“独学而无友，则孤陋而寡闻。”,某～，不足当公之荐。（明·罗贯中《三国演义》第十回）,glgw,350
难解难分,nán  jiě  nán  fēn,指双方争吵、斗争、比赛等相持不下，难以分开。有时也形容双方关系十分亲密，分不开。,明·许仲琳《封神演义》第六十九回：“一员将使五股托天叉；一员将使八楞熟铜锤；一员将使五爪烂银抓；三将大战，杀得难解难分。”,这盘棋，两人杀得～，不分高下。,njnf,350
温故知新,wēn  gù  zhī  xīn,温：温习；故：旧的。温习旧的知识，得到新的理解和体会。也指回忆过去，能更好地认识现在。,《论语·为政》：“温故而知新，可以为师矣。”汉·班固《东都赋》：“温故知新已难，而知德者鲜矣。”,～是学习上的重要方法。,wgzx,350
抓耳挠腮,zhuā  ěr  náo  sāi,挠：搔。抓抓耳朵，搔搔肋帮子。形容心里焦急而无法可想的样子。,明·凌濛初《二刻拍案惊奇》卷十一：“大郎听罢，气得抓耳挠腮，没有是处。”,孙悟空在旁闻讲，喜得他～，眉花眼笑。（明·吴承恩《西游记》第二回）,zens,350
屏气凝神,bǐng  qì  níng  shén,屏气：抑制呼吸；凝神：聚精会神。形容注意力高度集中，违心一致。,《论语·乡党》：“摄齐升堂，鞠躬如也，屏气似不息者。”《庄子·达生》：“用志不分，乃凝于神。”,愈唱愈低，愈低愈细，那声音渐渐的就听不见了。满园子的人都～，不敢少动。（清·刘鹗《老残游记》第二回）,bqns,349
花红柳绿,huā  hóng  liǔ  lǜ,形容明媚的春天景象。也形容颜色鲜艳纷繁。,五代·蜀·魏承班《生查子》词：“花红柳绿间晴空。”,史见那郊园野旷，景物芳菲，～，仕女游人不断头的走的。（明·兰陵笑笑生《金瓶梅词话》第八十九回）,hhll,349
千恩万谢,qiān  ēn  wàn  xiè,一再表示感恩和谢意。,明·施耐庵《水浒全传》第一百四回：“李助是个星卜家，得了银子，千恩万谢的辞了范全、王庆，来到段家庄回复。”,,qewx,349
鞭辟入里,biān  pì  rù  lǐ,鞭辟：鞭策，激励；里：最里层。形容作学问切实。也形容分析透彻，切中要害。,《二程全书·遗书十一》：“学只要鞭辟近里，著己而已。”,鲁迅对中国几千年的封建文化和帝国主义的殖民文化，进行了气魄雄伟、～的总结性的批判。,bprl,348
疾恶如仇,jí  è  rú  chóu,疾：憎恨；恶：指坏人坏事。憎恨坏人坏事就象憎恨仇人一样。,汉·孔融《荐祢衡表》：“见善若惊，疾恶如仇。”,他对军阀、政客，～。（梁斌《红旗谱》二十二）,jerc,348
天高皇帝远,tiān  gāo  huáng  dì  yuǎn,原指偏僻的地方，中央的权力达不到。现泛指机构离开领导机关远，遇事自作主张，不受约束。,明·黄溥《闲中今古录》：“天高皇帝远，民少相公多。一日三遍打，不反待如何。”,,tghy,348
聪明智慧,cōng  míng  zhì  huì,智力过人，心思敏锐。,明·周楫《西湖二集·洒雪堂巧结良缘》：“不觉魏鹏渐渐长大……聪明智慧，熟于经史。”,要论这小姐的模样儿，～，根基家当，倒也配的过。（清·曹雪芹《红楼梦》第二十九回）,cmzh,347
师道尊严,shī  dào  zūn  yán,本指老师受到尊敬，他所传授的道理、知识、技能才能得到尊重。后多指为师之道尊贵、庄严。,《礼记·学记》：“凡学之道，严师为难。师严然后道尊，道尊然后民知敬学。”,,sdzy,347
风行一时,fēng  xíng  yī  shī,风行：象刮风一样流行。形容事物在一个时期内非常盛行。,清·曾朴《孽海花》第三回：“不是弟妄下雌黄，只怕唐兄印行的《不息斋稿》，虽然风行一时，决不能望《五丁阁稿》的项背哩！”,,fxys,346
狡兔三窟,jiǎo  tù  sān  kū,狡猾的兔子准备好几个藏身的窝。比喻隐蔽的地方或方法多。,《战国策·齐策四》：“狡兔有三窟，仅得兔其死耳。”,见柴曰：“汝～，何归为？”（清·蒲松龄《聊斋志异·邵九娘》）,jtsk,346
奇珍异宝,qí  zhēn  yì  bǎo,珍异难得的宝物。,宋·胡仔《苕溪渔隐丛话后集·东坡四》：“嗟呼，世不乏奇珍异宝，乏识者耳。”,卿既不受职，朕所有黄金白璧，奇珍异宝，惟卿所好。（明·冯梦龙《警世通言·李谪仙醉草吓蛮书》）,qzyb,346
欲壑难填,yù  hè  nán  tián,欲：欲望；壑：深谷。形容欲望象深谷一样，很难填满。指贪心重，没法满足。,《国语·晋语八》：“叔鱼生其母视之，曰：‘是虎目而豕喙，鸢肩而牛腹，谿壑可盈，是不可餍也，必以贿死。’”,衙门口人～，也不好太懦弱了，尽着他们的口胃，他们得着口胃，就咽不满的馋涎了。（清·颐琐《黄绣球》第四回）,yhnp,346
木已成舟,mù  yǐ  chéng  zhōu,树木已经做成了船。比喻事情已成定局，无法改变。,清·李汝珍《镜花缘》第三十四回：“如今木已成舟，也是林兄命定如此了。”,,mycz,345
上梁不正下梁歪,shàng  liáng  bù  zhèng  xià  liáng  wāi,上梁：指上级或长辈。比喻在上的人行为不正，下面的人也跟着做坏事。,晋·杨泉《物理论》：“上不正，下参差。”,,slbw,345
孤军作战,gū  jūn  zuò  zhàn,孤立无援的军队单独奋战。比喻单独办事，没有人支援。,《隋书·虞庆则传》：“由是长儒孤军奋战，死者十八九。”,我们已经脱离了过去那种慢慢发展的～的情况。（《毛泽东选集·中国革命战争的战略问题》）,gjzz,343
足智多谋,zú  zhì  duō  móu,足：充实，足够；智：聪明、智慧；谋：计谋。富有智慧，善于谋划。形容人善于料事和用计。,元·无名氏《连环计》第一折：“此人足智多谋，可与共事。”,～之士，能征惯战之将，何止一二千人。（明·罗贯中《三国演义》第四十三回）,zzdm,343
祸从天降,huò  cóng  tiān  jiàng,降：落下。比喻突然遭到了意外的灾祸。,元·李好古《张生煮海》第三折：“则为那窈窕娘，不招你个俊俏郎，弄出这一番祸从天降。”,正是～，灾向地生。（明·施耐庵《水浒全传》第四十六回）,hctj,342
青天白日,qīng  tiān  bái  rì,指大白天。也比喻明显的事情或高洁的品德。,唐·韩愈《与崔群书》：“青天白日，奴隶亦知其清明。”,其为汉复仇之志，如～，人人得而知之。（宋·朱熹《答魏元履书》）,qtbr,342
逼上梁山,bī  shàng  liáng  shān,比喻被迫起来反抗。现也比喻被迫采取某种行动。,明·施耐庵《水浒全传》第十一回：“林冲雪夜上梁山。”,可以说差不多的人都是～的。（姚雪垠《李自成》第一卷第二十八章）,bsls,341
赏罚分明,shǎng  fá  fēn  míng,该赏的赏，该罚的罚。形容处理事情严格而公正。,汉·王符《潜夫论·实贡》：“赏罚严明，治之材也。”《汉书·张敞传》：“敞为人敏疾，赏罚分明。”,,sffm,341
纨绔子弟,wán  kù  zǐ  dì,纨裤：细绢裤。衣着华美的年轻人。旧时指官僚、地主等有钱有势人家成天吃喝玩乐、不务正业的子弟。,《汉书·叙传上》：“出与王、许子弟为群，在于绮襦纨裤之间，非其好也。”《宋史·鲁宗道传》：“馆阁育天下英才，岂纨绔子弟得以恩泽处耶？”,钱正兴在他眼底中，不过是一个～，同世界上一切～一样的。（柔石《二月》六）,wkzd,341
问长问短,wèn  cháng  wèn  duǎn,仔细地问，表示关心。,,,wcwd,341
赤胆忠心,chì  dǎn  zhōng  xīn,赤：比喻真纯。形容十分忠诚。,明·汤显祖《还魂记·淮警》：“贼子豪雄是李全，忠心赤胆向胡天，靴尖踢倒长天堑，却笑江南土不坚。”,又有公子一个嬷嬷爹，这人姓华名忠，年纪五十岁光景，一生耿直，～。（清·文康《儿女英雄传》第一回）,cdzx,340
官运亨通,guān  yùn  hēng  gōng,官运：官场中的运气。亨通：顺利。指仕途顺利，步步高升。,,正碰着～，那年修理堤工案内，得了个异常劳绩，保举免补本班，以府经补用。（清·李宝嘉《官场现形记》第四十三回）,gyht,340
满腹经纶,mǎn  fù  jīng  lún,比喻政治见识和主张。形容人极有才干和智谋。,《易·屯》：“云雷屯，君子以经纶。”,仲老，真佩服，～！这果然是奥妙！（茅盾《子夜》二）,mfjl,340
小家碧玉,xiǎo  jiā  bì  yù,旧时指小户人家美丽的年轻女子。,《乐府诗集·碧玉歌》：“碧玉小家女，不敢攀贵德。感郎义气重，遂得结金兰。”,无论南部烟花，～，只要有宜男相，便算得如意珠。（清·彭养鸥《黑籍冤魂》第二十一回）,xjby,340
庸人自扰,yōng  rén  zì  rǎo,自扰：自找麻烦。指本来没事，自己找麻烦。,《新唐书·陆象先传》：“天下本无事，庸人扰之而烦耳。”,他在房里踱了半圈，在门口停下，背对着郑成功，警告似地说：“不要～。”（华而实《汉衣冠》三）,yrzr,340
知人善任,zhī  rén  shàn  rèn,知：了解，知道；任：任用，使用。善于认识人的品德和才能，最合理地使用。,汉·班彪《王命论》：“盖在高祖，其兴也有五：一曰帝尧之功裔，二曰体貌多奇异，三曰神武有征应，四曰宽明而仁恕，五曰知人善任使。”,只有～，才能人尽其才。,zrsr,340
卑躬屈膝,bēi  gōng  qū  xī,卑躬：低头弯腰；屈膝：下跪。形容没有骨气，低声下气地讨好奉承。,宋·魏了翁《江陵州丛兰精舍记》：“公卿大臣皆卑躬屈膝唯后，虽谢安石之贤也，而犹不能免。”,不管有多大困难也不能向朝廷～，用变节投降的办法，苟安一时。（姚雪垠《李自成》第一卷第十四章）,bgqx,339
讲信修睦,jiǎng  xìn  xiū  mù,人与人之间，国与国之间，讲究信用，谋求和睦。,《礼记·礼运》：“选贤与能，讲信修睦。”,我国民务扩新知，多尽义务，对于内则父诏兄勉，对于外则～。（蔡东藩、许厪父《民国通俗演义》第四十四回）,jxxm,339
掩鼻而过,yǎn  bí  ér  guò,捂着鼻子走过去。形容对腥臭肮脏的东西的嫌恶。,《孟子·离娄下》：“西子蒙不洁，则人皆掩鼻而过之。”,,ybeg,339
空洞无物,kōng  dòng  wú  wù,空空洞洞，没有什么内容。多指言谈、文章极其空泛。,南朝宋·刘义庆《世说新语·排调》：“此中空洞无物，然容卿辈数百人。”,出了口吻、技巧和声调之外，八股文里是～的。（朱自清《经典常谈·文第十三》）,kdww,338
功败垂成,gōng  bài  chuí  chéng,垂：接近，快要。事情在将要成功的时候遭到了失败。,《晋书·谢玄传论》：“庙算有余，良图不果；降龄何促，功败垂成。”,况且十二道金牌，他未必不知道是假的，何必就班师回去，以致～。（清·吴趼人《二十年目睹之怪现状》第六十一回）,gbcc,337
过河拆桥,guò  hé  chāi  qiáo,自己过了河，便把桥拆掉。比喻达到目的后，就把帮助过自己的人一脚踢开。,元·康进之《李逵负棘》第三折：“你休得顺水推船，偏不许我过河拆桥。”,祥子受了那么多的累，～，老头子翻脸不认人，他们替祥子不平。（老舍《骆驼祥子》十四）,ghcq,337
请君入瓮,qǐng  jūng  rù  wèng,瓮：一种陶制的盛器。比喻用某人整治别人的办法来整治他自己。,《资治通鉴·唐纪·则天皇后天授二年》：“兴曰：‘此甚易尔！取大瓮，令囚入中，何事不承！’俊臣乃索大瓮，火围如兴法，因起谓兴曰：‘有内状推兄，请兄入此瓮。’兴惶恐叩头伏罪。”,掬西江之水，为尔洗肠，即烧东壁之床，～。（清·蒲松龄《聊斋志异·席方平》）,qjrw,337
兴利除弊,xīng  lì  chú  bì,弊：害处，坏处。兴办对国家人民有益利的事业，除去各种弊端。,《管子·君臣下》：“为民兴利除害，正民之德。”宋·王安石《答司马谏议书》：“举先王之政，以兴利除弊，不为生事。”,,xlcb,337
壮志未酬,zhuàng  zhì  wèi  chóu,酬：实现。旧指潦倒的一生，志向没有实现就衰老了。也指抱负没有实现就去世了。,唐·李频《春日思归》：“壮志未酬三尺剑，故乡空隔万重山。”,这些感情炽烈的诗篇，抒发了作者～的愤懑之情。,zzwc,337
左支右绌,zuǒ  zhī  yòu  chù,支：支持；绌：屈曲，引伸为不足。原指弯弓射箭的姿势，左手支持，右手屈曲。指力量不足，应付了这方面，那方面又出了问题。,《战国策·西周策》：“我不能教子支左屈右。”,两路夹攻，杀得冷军～，只好弃甲曳兵，败阵下去。（蔡东藩、许厪父《民国通俗演义》第二十八回）,zzyc,337
怅然若失,chàng  rán  ruò  shī,怅然：形容不如意、不痛快。 象失去什么似的烦恼不快。,南朝宋·刘义庆《世说新语·雅量》：“殷怅然自失。”,忠泣诉父名，主人～。（清·蒲松龄《聊斋志异·牛成章》）,crrs,336
含情脉脉,hán  qíng  mò  mò,饱含温情，默默地用眼神表达自己的感情。常用以形容少女面对意中人稍带娇羞但又无限关切的表情。,唐·李德裕《二芳丛赋》：“一则含情脉脉，如有思而不得，类西施之容冶，眼红罗之盛饰。”,,hqmm,336
急起直追,jí  qǐ  zhí  zhuī,立即行动起来，努力追赶上去。,宋·孙觌《鸿庆居士文集》：“故今日之乱，且置无丰，元祐勿论，宜度时之所宜为者，急起而趋之，如拯焚救罔，不然，袭常祖故，以乱救乱，天下纷纷，何时而定也。”,值此建设时代，内乱外患，险象环生，各行政官力负责任，～。（蔡东藩、许厪父《民国通俗演义》第三十五回）,jqzz,336
玲珑剔透,líng  lóng  tī  tòu,形容器物精致通明，结构细巧。也比喻人精明灵活。,元·关汉卿《救风尘》第二折：“那厮爱女娘的心，见的便似驴共狗，卖弄他玲珑剔透。”,走上冈子一看，有座天 ，直靠在海外，如建康燕子矶一样，～，文采可观。（清·陈忱《水浒后传》第三十六回）,lltt,336
神魂颠倒,shén  hún  diān  dǎo,神魂：精神，神志。精神恍惚，颠三倒四，失去常态。,明·冯梦龙《醒世恒言》卷十六：“小娘们多有爱他的，奉得神魂颠倒，连家里也不思想。”,,shdd,336
忧心如焚,yōu  xīn  rú  fén,如焚：象火烧一样。心里愁得象火烧一样。形容非常忧虑焦急。,《诗经·小雅·节南山》：“忧心如焚，不敢戏谈。”,～，命不久矣。（明·罗贯中《三国演义》第八十回）,yxrf,336
丑态百出,chǒu  tài  bǎi  chū,各种丑恶的样子都表现出来了。,,得失心未免过重，以致弄的忽哭忽笑，～。（清·李汝珍《镜花缘》第六十七回）,ctbc,334
